episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
481,low_traffic,3603,106,-0.331,0.322,906
482,normal,3614,111,-0.389,0.347,870
483,peak_hour,3662,105,-0.099,0.356,967
484,low_traffic,3605,107,-0.155,0.35,983
485,low_traffic,3633,117,-0.381,0.304,858
486,peak_hour,3624,111,-0.397,0.347,892
487,low_traffic,3656,111,-0.139,0.353,896
488,peak_hour,3657,96,-0.186,0.38,928
489,normal,3641,97,0.174,0.364,912
490,normal,3607,101,-0.307,0.337,879
491,low_traffic,3601,102,0.03,0.34,962
492,normal,3629,91,0.28,0.341,932
493,peak_hour,3643,102,-0.164,0.382,945
494,peak_hour,3657,98,-0.052,0.358,937
495,peak_hour,3634,105,0.005,0.388,942
496,peak_hour,3631,104,-0.254,0.355,887
497,normal,3634,93,0.248,0.365,953
498,low_traffic,3661,104,-0.091,0.38,998
499,low_traffic,3608,101,0.066,0.344,967
500,peak_hour,3644,101,-0.044,0.35,807
501,rainy_peak,3644,82,0.603,0.386,821
502,cloudy_normal,3607,108,-0.454,0.359,793
503,low_traffic,3650,97,0.056,0.383,937
504,peak_hour,3635,100,-0.068,0.373,959
505,rainy_peak,3651,81,0.132,0.424,805
506,cloudy_normal,3612,113,-0.133,0.375,785
507,peak_hour,3654,101,-0.251,0.435,855
508,cloudy_normal,3606,108,-0.293,0.439,764
509,cloudy_normal,3651,100,-0.004,0.408,828
510,rainy_normal,3630,86,0.09,0.408,837
511,cloudy_normal,3601,98,0.16,0.359,880
512,rainy_peak,3619,74,0.525,0.452,839
513,rainy_normal,3670,83,0.327,0.481,830
514,low_traffic,3620,111,-0.487,0.384,782
515,rainy_normal,3625,91,0.095,0.425,855
516,low_traffic,3613,106,-0.208,0.363,838
517,peak_hour,3658,98,0.078,0.346,1060
518,normal,3625,119,-0.35,0.36,963
519,rainy_peak,3629,85,0.16,0.449,859
520,normal,3618,108,-0.414,0.375,970
521,cloudy_normal,3601,103,-0.113,0.42,887
522,normal,3653,106,-0.067,0.37,991
523,cloudy_normal,3643,104,-0.386,0.413,907
524,rainy_peak,3628,94,0.016,0.479,767
525,cloudy_normal,3615,115,-0.224,0.332,879
526,normal,3615,99,0.187,0.385,911
527,low_traffic,3603,110,-0.557,0.34,870
528,rainy_normal,3614,86,-0.007,0.379,867
529,cloudy_normal,3618,97,-0.047,0.448,912
530,cloudy_normal,3653,114,-0.262,0.376,853
531,normal,3601,93,0.137,0.416,1020
532,low_traffic,3606,110,-0.271,0.344,876
533,low_traffic,3617,108,-0.268,0.358,921
534,low_traffic,3633,99,0.197,0.377,1046
535,normal,3623,104,0.096,0.372,930
536,low_traffic,3637,98,-0.177,0.385,968
537,normal,3609,92,0.246,0.403,914
538,normal,3605,101,0.004,0.371,976
539,rainy_normal,3611,94,0.1,0.414,842
540,normal,3634,115,-0.234,0.356,1011
541,low_traffic,3647,97,-0.208,0.413,863
542,rainy_normal,3602,79,0.391,0.429,838
543,cloudy_normal,3637,97,0.207,0.418,902
544,low_traffic,3611,104,-0.123,0.399,920
545,peak_hour,3629,104,-0.079,0.346,964
546,rainy_normal,3624,85,0.396,0.417,843
